#z y theta
0 -40.390 -69.957 0.667
1 -38.370 -68.791 0.669
2 -40.390 -69.957 0.667
3 -40.390 -65.294 0.662
4 -38.370 -66.460 0.667
5 -38.370 -66.460 0.667
6 -40.390 -67.626 0.664
7 -40.390 -67.626 0.664
8 -38.370 -68.791 0.669
9 -38.370 -64.128 0.664
10 -38.370 -64.128 0.664
11 -40.390 -65.294 0.662
12 -40.390 -69.957 0.667
13 -38.370 -68.791 0.669
14 -40.390 -69.957 0.667
15 -40.390 -65.294 0.662
16 -38.370 -66.460 0.667
17 -38.370 -66.460 0.667
18 -40.390 -67.626 0.664
19 -40.390 -67.626 0.664
20 -38.370 -68.791 0.669
21 -38.370 -64.128 0.664
22 -38.370 -64.128 0.664
23 -40.390 -65.294 0.662
24 -40.390 -69.957 0.667
25 -38.370 -68.791 0.669
26 -40.390 -69.957 0.667
27 -40.390 -65.294 0.662
28 -38.370 -66.460 0.667
29 -38.370 -66.460 0.667
30 -40.390 -67.626 0.664
31 -40.390 -67.626 0.664
32 -38.370 -68.791 0.669
33 -38.370 -64.128 0.664
34 -38.370 -64.128 0.664
35 -40.390 -65.294 0.662
36 -40.390 -69.957 0.667
37 -38.370 -68.791 0.669
38 -40.390 -69.957 0.667
39 -40.390 -65.294 0.662
40 -38.370 -66.460 0.667
41 -38.370 -66.460 0.667
42 -40.390 -67.626 0.664
43 -40.390 -67.626 0.664
44 -38.370 -68.791 0.669
45 -38.370 -64.128 0.664
46 -38.370 -64.128 0.664
47 -40.390 -65.294 0.662
48 -40.390 -69.957 0.667
49 -38.370 -68.791 0.669
50 -40.390 -69.957 0.667
51 -40.390 -65.294 0.662
52 -38.370 -66.460 0.667
53 -38.370 -66.460 0.667
54 -40.390 -67.626 0.664
55 -40.390 -67.626 0.664
56 -38.370 -68.791 0.669
57 -38.370 -64.128 0.664
58 -38.370 -64.128 0.664
59 -40.390 -65.294 0.662
60 -40.390 -69.957 0.667
61 -38.370 -68.791 0.669
62 -40.390 -69.957 0.667
63 -40.390 -65.294 0.662
64 -38.370 -66.460 0.667
65 -38.370 -66.460 0.667
66 -40.390 -67.626 0.664
67 -40.390 -67.626 0.664
68 -38.370 -68.791 0.669
69 -38.370 -64.128 0.664
70 -38.370 -64.128 0.664
71 -40.390 -65.294 0.662
72 -40.390 -69.957 0.667
73 -38.370 -68.791 0.669
74 -40.390 -69.957 0.667
75 -40.390 -65.294 0.662
