#iterative separation between p-node lists
#step s1 s2 s3 s4
145 0.0032 0.0039 0.0039 0.0032
146 0.0032 0.0038 0.0038 0.0032
147 0.0032 0.0038 0.0038 0.0032
148 0.0032 0.0037 0.0037 0.0032
149 0.0032 0.0037 0.0037 0.0032
150 0.0032 0.0036 0.0036 0.0032
151 0.0032 0.0036 0.0036 0.0032
152 0.0032 0.0036 0.0036 0.0032
153 0.0032 0.0036 0.0036 0.0032
154 0.0033 0.0036 0.0036 0.0033
155 0.0033 0.0037 0.0037 0.0033
156 0.0034 0.0038 0.0038 0.0034
157 0.0035 0.0039 0.0039 0.0035
158 0.0037 0.0040 0.0040 0.0037
159 0.0039 0.0042 0.0042 0.0039
160 0.0041 0.0045 0.0045 0.0041
161 0.0044 0.0048 0.0048 0.0044
162 0.0048 0.0053 0.0053 0.0048
163 0.0054 0.0059 0.0059 0.0054
164 0.0061 0.0068 0.0068 0.0061
165 0.0072 0.0081 0.0081 0.0072
166 0.0078 0.0088 0.0088 0.0078
167 0.0085 0.0096 0.0096 0.0085
168 0.0091 0.0104 0.0104 0.0091
169 0.0097 0.0111 0.0111 0.0097
170 0.0102 0.0117 0.0117 0.0102
171 0.0106 0.0122 0.0122 0.0106
172 0.0110 0.0127 0.0127 0.0110
173 0.0114 0.0132 0.0132 0.0114
174 0.0118 0.0137 0.0137 0.0118
175 0.0122 0.0141 0.0141 0.0122
176 0.0125 0.0145 0.0145 0.0125
177 0.0128 0.0149 0.0149 0.0128
178 0.0132 0.0153 0.0153 0.0132
179 0.0135 0.0157 0.0157 0.0135
180 0.0138 0.0160 0.0160 0.0138
181 0.0141 0.0164 0.0164 0.0141
182 0.0141 0.0164 0.0164 0.0141
183 0.0139 0.0161 0.0161 0.0139
184 0.0136 0.0158 0.0158 0.0136
185 0.0133 0.0155 0.0155 0.0133
186 0.0131 0.0152 0.0152 0.0131
187 0.0128 0.0148 0.0148 0.0128
188 0.0126 0.0145 0.0145 0.0126
189 0.0123 0.0142 0.0142 0.0123
190 0.0120 0.0139 0.0139 0.0120
191 0.0118 0.0136 0.0136 0.0118
192 0.0115 0.0133 0.0133 0.0115
193 0.0113 0.0130 0.0130 0.0113
194 0.0110 0.0128 0.0128 0.0110
195 0.0108 0.0125 0.0125 0.0108
196 0.0105 0.0122 0.0122 0.0105
197 0.0103 0.0119 0.0119 0.0103
198 0.0100 0.0116 0.0116 0.0100
199 0.0098 0.0113 0.0113 0.0098
200 0.0095 0.0110 0.0110 0.0095
201 0.0093 0.0108 0.0108 0.0093
202 0.0091 0.0105 0.0105 0.0091
203 0.0088 0.0102 0.0102 0.0088
204 0.0086 0.0099 0.0099 0.0086
205 0.0084 0.0097 0.0097 0.0084
206 0.0081 0.0094 0.0094 0.0081
207 0.0079 0.0091 0.0091 0.0079
208 0.0077 0.0089 0.0089 0.0077
209 0.0075 0.0086 0.0086 0.0075
210 0.0072 0.0084 0.0084 0.0072
211 0.0070 0.0081 0.0081 0.0070
212 0.0068 0.0079 0.0079 0.0068
213 0.0066 0.0076 0.0076 0.0066
214 0.0064 0.0074 0.0074 0.0064
215 0.0062 0.0072 0.0072 0.0062
216 0.0060 0.0069 0.0069 0.0060
217 0.0058 0.0067 0.0067 0.0058
218 0.0056 0.0065 0.0065 0.0056
219 0.0055 0.0063 0.0063 0.0055
220 0.0053 0.0061 0.0061 0.0053
221 0.0051 0.0059 0.0059 0.0051
222 0.0049 0.0057 0.0057 0.0049
223 0.0048 0.0055 0.0055 0.0048
224 0.0046 0.0053 0.0053 0.0046
225 0.0044 0.0051 0.0051 0.0044
226 0.0043 0.0049 0.0049 0.0043
227 0.0041 0.0048 0.0048 0.0041
228 0.0040 0.0046 0.0046 0.0040
229 0.0038 0.0044 0.0044 0.0038
230 0.0037 0.0042 0.0042 0.0037
231 0.0036 6.1924 6.1924 0.0036
232 0.0035 0.0023 0.0023 0.0035
233 0.0033 0.0022 0.0022 0.0033
234 0.0032 0.0021 0.0021 0.0032
235 0.0031 0.0021 0.0021 0.0031
236 0.0029 0.0020 0.0020 0.0029
237 0.0028 0.0019 0.0019 0.0028
238 0.0027 0.0018 0.0018 0.0027
239 0.0026 0.0018 0.0018 0.0026
240 0.0025 0.0017 0.0017 0.0025
241 0.0024 0.0016 0.0016 0.0024
242 0.0023 0.0016 0.0016 0.0023
243 0.0022 0.0015 0.0015 0.0022
244 0.0021 0.0015 0.0015 0.0021
245 0.0020 0.0014 0.0014 0.0020
246 0.0019 0.0013 0.0013 0.0019
247 0.0018 0.0013 0.0013 0.0018
248 0.0018 0.0012 0.0012 0.0018
249 0.0017 0.0012 0.0012 0.0017
250 0.0016 0.0011 0.0011 0.0016
251 0.0015 0.0011 0.0011 0.0015
252 0.0015 0.0010 0.0010 0.0015
253 0.0014 0.0010 0.0010 0.0014
254 0.0013 0.0009 0.0009 0.0013
255 0.0013 0.0009 0.0009 0.0013
256 0.0012 0.0009 0.0009 0.0012
257 0.0012 0.0008 0.0008 0.0012
258 0.0011 0.0008 0.0008 0.0011
259 0.0011 0.0008 0.0008 0.0011
260 0.0010 0.0007 0.0007 0.0010
261 0.0010 0.0007 0.0007 0.0010
262 0.0010 0.0007 0.0007 0.0010
263 0.0009 0.0006 0.0006 0.0009
264 0.0009 0.0006 0.0006 0.0009
265 0.0009 0.0006 0.0006 0.0009
266 0.0008 0.0006 0.0006 0.0008
267 0.0008 0.0006 0.0006 0.0008
268 0.0008 0.0006 0.0006 0.0008
269 0.0008 0.0005 0.0005 0.0008
270 0.0008 0.0005 0.0005 0.0008
271 0.0008 0.0005 0.0005 0.0008
272 0.0008 0.0005 0.0005 0.0008
273 0.0008 0.0005 0.0005 0.0008
274 0.0008 0.0005 0.0005 0.0008
275 0.0008 0.0006 0.0006 0.0008
276 0.0009 0.0006 0.0006 0.0009
277 0.0009 0.0006 0.0006 0.0009
278 0.0010 0.0007 0.0007 0.0010
279 0.0011 0.0007 0.0007 0.0011
280 0.0010 0.0007 0.0007 0.0010
281 0.0010 0.0007 0.0007 0.0010
282 0.0010 0.0007 0.0007 0.0010
283 0.0010 0.0007 0.0007 0.0010
284 0.0010 0.0007 0.0007 0.0010
285 0.0010 0.0007 0.0007 0.0010
286 0.0010 0.0007 0.0007 0.0010
287 0.0010 0.0007 0.0007 0.0010
288 0.0010 0.0007 0.0007 0.0010
289 0.0011 0.0007 0.0007 0.0011
290 0.0011 0.0008 0.0008 0.0011
291 0.0011 0.0008 0.0008 0.0011
292 0.0012 0.0008 0.0008 0.0012
293 0.0011 0.0008 0.0008 0.0011
294 0.0011 0.0008 0.0008 0.0011
295 0.0012 0.0008 0.0008 0.0012
296 0.0012 0.0008 0.0008 0.0012
297 0.0012 0.0008 0.0008 0.0012
298 0.0012 0.0008 0.0008 0.0012
299 0.0013 0.0009 0.0009 0.0013
300 0.0014 0.0009 0.0009 0.0014
301 0.0015 0.0010 0.0010 0.0015
302 0.0016 0.0011 0.0011 0.0016
303 0.0016 0.0011 0.0011 0.0016
304 0.0014 0.0009 0.0009 0.0014
305 0.0014 0.0010 0.0010 0.0014
306 0.0015 0.0010 0.0010 0.0015
307 0.0015 0.0010 0.0010 0.0015
308 0.0016 0.0011 0.0011 0.0016
309 0.0016 0.0011 0.0011 0.0016
310 0.0017 0.0011 0.0011 0.0017
311 0.0017 0.0011 0.0011 0.0017
312 0.0017 0.0011 0.0011 0.0017
313 0.0017 0.0011 0.0011 0.0017
314 0.0017 0.0011 0.0011 0.0017
315 0.0016 0.0011 0.0011 0.0016
316 0.0016 0.0011 0.0011 0.0016
317 0.0016 0.0011 0.0011 0.0016
318 0.0016 0.0011 0.0011 0.0016
319 0.0016 0.0011 0.0011 0.0016
320 0.0016 0.0011 0.0011 0.0016
321 0.0016 0.0011 0.0011 0.0016
322 0.0016 0.0011 0.0011 0.0016
323 0.0016 0.0011 0.0011 0.0016
324 0.0016 0.0011 0.0011 0.0016
325 0.0016 0.0011 0.0011 0.0016
326 0.0022 0.0015 0.0014 0.0022
327 0.0022 0.0014 0.0014 0.0022
328 0.0022 0.0014 0.0014 0.0022
329 0.0022 0.0014 0.0014 0.0022
330 0.0022 0.0014 0.0014 0.0022
331 0.0022 0.0014 0.0014 0.0022
332 0.0022 0.0014 0.0014 0.0022
333 0.0022 0.0014 0.0014 0.0022
334 0.0017 0.0011 0.0011 0.0017
335 0.0016 0.0010 0.0010 0.0016
336 0.0016 0.0010 0.0010 0.0016
337 0.0020 0.0012 0.0012 0.0020
338 0.0019 0.0012 0.0012 0.0019
339 0.0018 0.0011 0.0011 0.0018
340 0.0018 0.0011 0.0011 0.0018
341 0.0017 0.0011 0.0011 0.0017
342 0.0017 0.0010 0.0010 0.0017
343 0.0016 0.0010 0.0010 0.0016
344 0.0016 0.0010 0.0010 0.0016
345 0.0016 0.0010 0.0010 0.0016
346 0.0016 0.0010 0.0010 0.0016
347 0.0015 0.0010 0.0010 0.0015
348 0.0015 0.0010 0.0010 0.0015
349 0.0015 0.0010 0.0010 0.0015
350 0.0015 0.0010 0.0010 0.0015
351 0.0015 0.0009 0.0009 0.0015
352 0.0015 0.0009 0.0009 0.0015
353 0.0014 0.0009 0.0009 0.0014
354 0.0014 0.0009 0.0009 0.0014
355 0.0014 0.0009 0.0009 0.0014
356 0.0014 0.0009 0.0009 0.0014
357 0.0014 0.0009 0.0009 0.0014
358 0.0014 0.0009 0.0009 0.0014
359 0.0014 0.0009 0.0009 0.0014
360 0.0014 0.0009 0.0009 0.0014
361 0.0014 0.0009 0.0009 0.0014
362 0.0014 0.0009 0.0009 0.0014
363 0.0014 0.0010 0.0010 0.0014
364 0.0014 0.0010 0.0010 0.0014
365 0.0014 0.0010 0.0010 0.0014
366 0.0014 0.0010 0.0010 0.0014
367 0.0014 0.0010 0.0010 0.0014
368 0.0014 0.0010 0.0010 0.0014
369 0.0014 0.0010 0.0010 0.0014
370 0.0014 0.0010 0.0010 0.0014
371 0.0014 0.0010 0.0010 0.0014
372 0.0014 0.0011 0.0011 0.0014
373 0.0015 0.0011 0.0011 0.0015
374 0.0015 0.0011 0.0011 0.0015
375 0.0015 0.0011 0.0011 0.0015
376 0.0016 0.0012 0.0012 0.0016
377 0.0016 0.0012 0.0012 0.0016
378 0.0017 0.0013 0.0013 0.0017
379 0.0018 0.0014 0.0014 0.0018
380 0.0019 0.0015 0.0015 0.0019
